Model,IoU,Inference_Time_ms,IoU_norm,Time_norm,IoU_weighted,Time_weighted,S_plus,S_minus,TOPSIS_Score,Rank
hrnet_pretrained,0.9195810999086594,26.89350971020758,0.25081109392713913,0.06352572479630775,0.15048665635628347,0.0254102899185231,0.0024266257313844825,0.16387226614839398,0.9854080457031573,1
hrnet_finetuned,0.9142827356160312,26.88666633795947,0.24936599186448194,0.0635095599228198,0.14961959511868916,0.025403823969127923,0.0032936783544291193,0.1638650211815228,0.9802960990866626,2
unet_pretrained,0.9286717363530604,44.11287812050432,0.2532905190385737,0.10419995700273338,0.15197431142314421,0.041679982801093356,0.016303220419740937,0.1476436262271309,0.9005578890766192,3
unet_finetuned,0.9156451995960003,44.32194319553673,0.24973759702392498,0.10469379401263423,0.149842558214355,0.0418775176050537,0.016757442352899294,0.1473963475923104,0.8979162013360512,4
pspnet_new_pretrained,0.9072247191072542,46.51311156805605,0.2474409535598691,0.1098695989006888,0.14846457213592146,0.04394783956027552,0.019070171940292046,0.14531025931215294,0.8839875775760434,5
pspnet_new_finetuned,0.9057822747629427,46.642692727036774,0.2470475341605777,0.11017568528111656,0.1482285204963466,0.04407027411244663,0.0192453441488162,0.1451863895636985,0.8829584545355473,6
resunet_advanced_mini_pretrained,0.919496454612143,55.012404904700816,0.25078800735063467,0.12994595841213838,0.1504728044103808,0.05197838336485536,0.026686384099821842,0.13730926981457164,0.8372738328938908,7
resunet_advanced_mini_finetuned,0.9154577187561858,55.05112608894706,0.24968646257310934,0.13003742253566555,0.1498118775438656,0.05201496901426622,0.02679126158513954,0.13725978738319589,0.8366894827110819,8
resunet_small_pretrained,0.9148625235160102,57.98182994592935,0.24952412608174007,0.13696009974233267,0.14971447564904403,0.05478403989693307,0.029553838929718714,0.13448946410550675,0.8198412342053569,9
resunet_small_finetuned,0.908160826533441,57.98210745677352,0.24769627212570144,0.13696075525653312,0.14861776327542087,0.05478430210261325,0.029692825786892228,0.1344753048299886,0.8191316075950238,10
resunet_advanced_finetuned,0.9186623170290158,93.19325269199908,0.250560500543752,0.2201337418275929,0.1503363003262512,0.08805349673103717,0.06270264976676812,0.10124195267941595,0.617537577370963,11
resunet_advanced_pretrained,0.9248163444223053,93.3998405188322,0.2522389803893272,0.2206217272774313,0.1513433882335963,0.08824869091097252,0.06286447200608164,0.10108049703053387,0.616551380398281,12
lightm_unet_finetuned,0.9097069526764385,171.45915222354233,0.2481179702111809,0.4050072688663184,0.14887078212670854,0.16200290754652735,0.13665888690630826,0.027288121347687076,0.16644476542546238,13
lightm_unet_pretrained,0.9010983681420006,172.4145431118086,0.24577002232005843,0.40726401777320675,0.14746201339203505,0.1629056071092827,0.13760979835460033,0.026349033177353154,0.16070517772717566,14
cbam_unet_pretrained,0.934409466033514,200.3015913069248,0.25485545578853047,0.47313660071658964,0.15291327347311828,0.18925464028663586,0.16385081631750792,0.005451260081083237,0.03219842422386709,15
cbam_unet_finetuned,0.9271821823790681,200.2328704437241,0.25288425072605875,0.4729742737205786,0.15173055043563524,0.18918970948823144,0.16379015577579828,0.004269030862053885,0.025401948830758955,16
