Model,BxPC3_IoU,BxPC3_CI_lower,BxPC3_CI_upper,DTS_IoU,DTS_CI_lower,DTS_CI_upper,Delta_IoU
CBAM-ResUNet,0.9434652766821113,0.9387379660943929,0.9477385628789631,0.9182525142479021,0.9061089844214215,0.9286610685599633,0.025212762434209224
MA-ResUNet,0.9351681677884675,0.9296600121426138,0.9409169687539597,0.906347107651529,0.8946053964700276,0.9175811374843216,0.028821060136938415
MA-ResUNet-Mini,0.9315550441179555,0.9259214097035781,0.937015604856209,0.8979820859036851,0.8852465189155231,0.9094851980419832,0.03357295821427042
LC-ResUNet,0.9287451131440173,0.9231719725308716,0.933509611946445,0.8900938595075709,0.8774009142345361,0.9021040223455075,0.03865125363644639
U-Net,0.9456994879845915,0.9410617979053103,0.9497233257954981,0.8982916221033616,0.8838273726020663,0.9096350120443569,0.047407865881229916
HRNet,0.927456535932839,0.9217126684661314,0.9329495431255129,0.905530117056776,0.89276667436179,0.9172031398331083,0.02192641887606306
PSPNet,0.9262830210406895,0.9215933649173856,0.9305828830047588,0.873221792433666,0.8587072765721643,0.8877813206896623,0.05306122860702345
LightM-UNet,0.9151001314069603,0.9089916192435911,0.92084155001663,0.8761170801310207,0.8625408081148781,0.8880785840575616,0.038983051275939595
