Dataset,Model,Base_Model,Model_Type,Model_Directory,Accuracy,Precision,Recall,F1_Score,IoU,Dice,Specificity,Avg_Inference_Time_ms,Std_Inference_Time_ms,Median_Inference_Time_ms
Merged_DTS_SpheroSeg,resunet_advanced_finetuned,resunet_advanced,finetuned,resunet_advanced_finetuned,0.9917867415318662,0.9745984507290113,0.9397213865053083,0.9538494990068552,0.9186623170290159,0.9538494990068552,0.9969330398162065,93.19325269199908,0.04206003467033765,93.19197316654027
Merged_DTS_SpheroSeg,resunet_advanced_pretrained,resunet_advanced,pretrained,resunet_advanced_pretrained,0.9924860075481741,0.9767181877030002,0.9459703762120484,0.9578970481534571,0.9248163444223053,0.9578970481534571,0.9968090974776929,93.3998405188322,0.0452430936525027,93.39819918386638
Merged_DTS_SpheroSeg,resunet_advanced_mini_finetuned,resunet_advanced_mini,finetuned,resunet_advanced_mini_finetuned,0.9916336604259667,0.972638792323819,0.9394746826535313,0.9512390993672674,0.9154577187561858,0.9512390993672674,0.9962919174401634,55.05112608894706,0.03953224987342222,55.04861753433943
Merged_DTS_SpheroSeg,resunet_advanced_mini_pretrained,resunet_advanced_mini,pretrained,resunet_advanced_mini_pretrained,0.9917869811203108,0.9732858565289912,0.9437128493494839,0.9550574005090541,0.9194964546121429,0.9550574005090541,0.9963063634787683,55.012404904700816,0.03680066139201138,55.00936391763389
Merged_DTS_SpheroSeg,lightm_unet_finetuned,lightm_unet,finetuned,lightm_unet_finetune_20250824_112621,0.9911332294213292,0.9788852813507983,0.9279065072566075,0.9484179950513215,0.9097069526764385,0.9484179950513215,0.9977243489809746,171.45915222354233,0.16855205520249084,171.47183208726346
Merged_DTS_SpheroSeg,lightm_unet_pretrained,lightm_unet,pretrained,lightm_unet_pretrain_20250823_121031,0.99058355269652,0.9822792948014918,0.9160725408432816,0.9443875070437617,0.9010983681420006,0.9443875070437617,0.9979136783654863,172.4145431118086,0.1611750470200072,172.4191033281386
Merged_DTS_SpheroSeg,unet_finetuned,unet,finetuned,unet_finetune_20250822_212920,0.9919259405463671,0.9764524211344685,0.9360672917471053,0.9522754164656841,0.9156451995960003,0.9522754164656841,0.9972134470463346,44.32194319553673,0.055224359547900836,44.32105575688183
Merged_DTS_SpheroSeg,unet_pretrained,unet,pretrained,unet_pretrain_20250822_104236,0.9930083038060541,0.9740963968457858,0.9519101062353392,0.9599352485117959,0.9286717363530604,0.9599352485117959,0.9970963265463232,44.11287812050432,0.05855830291874392,44.11618853919208
Merged_DTS_SpheroSeg,cbam_unet_finetuned,cbam_unet,finetuned,resunet_cbam_finetune_20250821_095214,0.9924268432407548,0.9750053246591879,0.9499395336322336,0.9594340264032181,0.9271821823790681,0.9594340264032181,0.9966058795259589,200.2328704437241,0.08523807253227637,200.22877561859787
Merged_DTS_SpheroSeg,cbam_unet_pretrained,cbam_unet,pretrained,resunet_cbam_pretrain_20250820_185256,0.9933478867340837,0.9752308798555828,0.957161729021966,0.9637112978619382,0.934409466033514,0.9637112978619382,0.9963495724849851,200.30159130692482,1.1061535450526994,200.17838198691607
Merged_DTS_SpheroSeg,resunet_small_finetuned,resunet_small,finetuned,resunet_small_finetune_20250819_122050,0.9910715269738254,0.9722851769679512,0.930846410151271,0.94611509592474,0.908160826533441,0.94611509592474,0.9963079630075447,57.98210745677352,0.0420996417544097,57.98388132825494
Merged_DTS_SpheroSeg,pspnet_new_finetuned,pspnet_new,finetuned,pspnet_new_finetune_20250727_122023,0.9908276315526242,0.9708699199113472,0.9317173414438449,0.9462467277983545,0.9057822747629427,0.9462467277983545,0.9967995356904363,46.642692727036774,0.13674930643068445,46.644308837130666
Merged_DTS_SpheroSeg,pspnet_new_pretrained,pspnet_new,pretrained,pspnet_new_pretrained_20250725_102928,0.9914737716390294,0.9720063642411059,0.9328255465308172,0.9470312286375079,0.9072247191072542,0.9470312286375079,0.9966923516447506,46.51311156805605,0.18582312173861298,46.49477847851813
Merged_DTS_SpheroSeg,resunet_small_pretrained,resunet_small,pretrained,resunet_small_pretrain_20250723_145015,0.9916975041951936,0.981108891052534,0.9313492880175942,0.9523709573116649,0.9148625235160102,0.9523709573116649,0.9976870676363303,57.98182994592935,0.04563435650564018,57.97308753244579
Merged_DTS_SpheroSeg,hrnet_finetuned,hrnet,finetuned,hrnet_finetuned,0.9915166710730975,0.9754469832889745,0.9354736140435066,0.9513960479066856,0.9142827356160312,0.9513960479066856,0.9965327027506521,26.88666633795947,0.02203115982382072,26.8858028575778
Merged_DTS_SpheroSeg,hrnet_pretrained,hrnet,pretrained,hrnet_pretrained,0.9920781110289988,0.9764837762805136,0.940525446807369,0.9549370680538634,0.9195810999086593,0.9549370680538634,0.9969435213462707,26.89350971020758,0.020680122168553357,26.89157659187913
